category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type 
;;pucerons, limaces;soleil;Astéracées, Composées;Août;blanc;persistant;jusqu'à 60cm;Stevia rebaudiana;éclat de souche, bouture, semis;Amérique du sud, Paraguay;plante aromatique;printemps;;10 °C;neutre, indifférent au calcaire;normal;riche et drainant;;taille en hiver;comestible;véranda, jardin, intérieur;vivace
;;les pucerons;soleil;Astéracées, Composées;été;jaune;caduc;de 50 cm à 1 m;Tanacetum vulgare, Chrysanthemum vulgare;semis au printemps;Hémisphère nord;plante officinale, fleur;printemp;;-15°C, rustique;neutre;normal;terre de jardin, bien drainé;Chrysanthemum vulgare;;comestible à faible dose, déconseillée aux femmes enceintes;potager, bordure, massif, pot, jardin d'herbes;vivace
;;|résistant aux maladies et aux insectes ; attention aux noctuelles qui perforent les feuilles|;soleil;Labiacées, Lamiacées, Labiées;été;blanc-rosé, rose, rouge;persistant;20 à 40 cm;Thymus;semis, bouturage à talon en été, division de la touffe;Bassin méditerranéen;sous-arbrisseau;printemps;;très rustique;neutre;normal, voir sec;ordinaire;;Lorsque la touffe devient un trop dégarnie, réduisez-la de moitié pour stimuler de nouvelles pousses sur le vieux bois;utilisée pour la cuisine, pour les infusions;rocaille, bordure, potager, pot, jardinière;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin, juillet;rose, violet;persistant;20 à 30 cm;Thymus citriodorus;division, bouture, semis;Europe, Asie;sous-arbrisseau, plante aromatique, ornementale;printemps, automne;;très rustique, -30°C;tolérant;sec;drainant;Thymus x citriodorus, Thymus serpyllum citratus, Thymus serpyllum citriodora;;;rocaille, couvre-sol, cuisine, médecine naturelle;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;mai, juin;blanc à rose;persistant;5 à 10 cm;Thymus hirsutus;division, bouture, marcottage;Europe du sud, Asie mineure;plante à fleur herbacée, aromatique;printemps, automne;;rustique -15°C;tolérant;moyennement sec;drainant;;;;rocaille, couvre-sol;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin à juillet;rose, violet;persistant;20 à 30 cm, s'étale;Thymus nitens;bouture, semis, marcottage;Europe;sous-arbrisseau;printemps, automne;;rustique, -20°C;acide à neutre;sec à moyennement sec;drainant;;;;rocaille, cuisine, médecine naturelle, couvre-sol, muret;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin, août;rose, violet;persistant;5 à 25 cm;Thymus praecox;division, bouture, semis;Europe, Asie;plante à fleur herbacée, aromatique;printemps, automne;;très rustique, -30°C;tolérant;sec;drainant;;;;rocaille, couvre-sol, cuisine, médecine naturelle;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin, août;rose;persistant;2 à 3 cm;Thymus pseudolanuginosus;division, bouture, semis;Europe, Asie;plante à fleur herbacée, aromatique;printemps, automne;;très rustique, -30°C;tolérant;sec à normal;drainant;Thymus lanuginosus, Thymus praecox pseudolanuginosus;;;rocaille, couvre-sol;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin, juillet;rose, violet;persistant;20 à 30 cm;Thymus serpyllum;division, bouture, semis;Europe, Asie;plante à fleur herbacée, aromatique;printemps, automne;;rustique -30°C;tolérant;sec;normal, drainant;;;;rocaille, couvre-sol, cuisine, médecine naturelle;vivace
;;;soleil;Verbénacées;juillet à octobre;lilas;semi-persistant;25 à 75 cm;Verbena officinalis;semis, divisions, boutures;Europe, Asie, Afrique du nord;plante sauvage;printemps, automne;;très rustique, -24°C;neutre à basique;frais à normal;tolérant;;;;plante officinale, utilisable en permaculture;plante vivace herbacées
;;;mi-ombre à ombre;Brassicacées, Crucifères;avril à mai;blanc;caduc;30 à 60 cm;Wasabia japonica;;Japon;légume, condiment;semis;;rustique, jusqu'à -12 °C;acide à neutre;humide;argileux, limoneux;Cochlearia wasabi, Eutrema japonica;;;condiment, plante médicinale, plante de bassin, plante en pot;vivace
;;;ensoleillée à mi-ombre;Rutacées;avril à juin;blanc, verdâtre;caduc;3 à 4 m;Zanthoxylum piperitum;;Asie;arbuste condimentaire et ornemental;printemps, automne;;très rustique, jusqu'à -23 °C;légèrement acide à légèrement basique;normal;tolérant;Zanthoxylum bungeatum, Piperita fagara;;;en isolé, en massif,  haie défensive, bonsaï;arbustive
;;;mi-ombre à ombre claire;Bégoniacées;juillet à octobre;|orange,
                    rouge, rose, jaune, blanc|;persistant;40 à 70 cm en tout sens;Begonia boliviensis;boutures, semis;Argentine, Bolivie;plante à tubercule;printemps;;non rustique, 5 °C;légèrement acide à neutre;frais;riche et humifère;;;;plante pour jardinière;vivace
;;la fonte des semis, l'oïdium, le botrytis, les limaces;mi-ombre, ombre;Bégoniacées;de juin à septembre;rouge, orange, jaune, blanc, rose;caduc;30 à 40 cm;Begonia x tuberhybrida;semis, division du tubercule, bouturage de jeunes pousses;Amérique centrale, Amérique du sud;fleur;forcé en intérieur début avril, il est installé en place en avril-mai, lorsqu'il ne gèle plus;;non rustique, jusqu'à 2°C;neutre;normal;terreau, riche en humus;;;;pot, jardinière, massif;bulbe
;;résistant au maladies;soleil;Astéracées, Composées;de juillet à septembre;jaune;persistant;40 cm;Bidens ferulifolia;semis en février-mars au chaud, bouturage;Mexique;fleur;printemps;;5°C, gélive;neutre à légèrement acide;normal;riche, bien drainé;;pas de taille nécessaire;;bordure, massif, pot, suspension, jardinière;vivace cultivée comme annuelle
;;;mi-ombre à ensoleillée;Solanacées;mai-juin jusqu'aux gelées;toutes les couleurs;persistant;40 à 60 cm;Calibrachoa x;boutures, semis;horticole;plante retombante;printemps;;gélive, mini 1 °C;acide à neutre;frais et drainant;riche et drainant;;;;massif, balcon, jardinière;vivace
;;;ensoleillée à mi-ombre;Scrophulariacées;du printemps jusque fin septembre;rose;persistant;30 cm;Diascia barberae;bouture, semis;Afrique du Sud;plante herbacée à fleurs;printemps;;peu rustique, -6°C;légèrement acide à légèrement basique;normal à frais;assez fertile et drainant;;;;massif, potée;plante vivace
;;;ensoleillée à mi-ombre;Scrophulariacées;du printemps jusque fin septembre;rose;persistant;30 cm;Diascia fetcaniensis;bouture, semis;Afrique du Sud;plante herbacée à fleurs;printemps;;peu rustique, jusqu'à -8 °C;légèrement acide à légèrement basique;normal à frais;humifère et drainant;;;;massif, potée;plante vivace
;;les limaces;plein soleil, mi-ombre;Scrophulariacées;de juin à octobre;abricot, rose, rouge;semis-presistant, persistant;de 20 à 40 cm selon les espèces et les variétés;Diascia;semis au printemps, bouturage herbacé au printemps;Afrique du sud, horticole;fleur;printemps;;jusqu'à -8°C;neutre à légerement acide;frais;riche en humus, bien drainé;;supprimez les fleurs fanées au fur et à mesure;;suspension, pot, jardinière, massif;annuelle ou vivace selon les espèces
;;;mi-ombre;Onagracées;davril jusquà novembre;rose;semi-persistant;jusqu'à 3 m;Fuchsia paniculata;bouturage, semis;Sud du Mexique et Panama;plante arbustive, voire arborescente;printemps;;moyennement rustique, -9°C;acide à neutre;frais;riche et humifère;;taille de mise en forme sévère au printemps ou à l'automne;;potée, pleine terre;vivace
;;l'oïdium, la rouille, les perces-oreilles, les pucerons, les araignées rouges, les aleurodes, la pourriture grise;mi-ombre, ombre;Onagracées;de juin à octobre;blanc, rose, violet, rouge;semi-persistant;de 50 à 150 cm;Fuchsia;semis au printemps, bouturage herbacé au printemps ou mi-aoûté en été;Amérique du sud;arbuste à fleurs;printemps;;gélif à moyennement rustique pour le Fuchsia magellanica, à protéger;légèrement acide;frais;riche en humus, léger, bien drainé;;selon les espèces;;pot, jardinière, bordure, haie libre, massif, suspension, bac;vivace
;;;soleil à mi-ombre;Astéracées, Composées;juin à octobre;jaune, rouge, orange, rose;semi-persistant;20 à 60 cm;Gerbera x jamesonii Garvinea;variétés protégées par un brevet;horticole;plante vivace;printemps;;rustique jusqu'à - 10°C;acide à légèrement acide;normal à frais;assez drainant;;;;massif, potée, serre froide;herbacées
;;la pourriture grise, les araignées rouges, les pucerons, les mouches blanches;mi-ombre, ombre;Balsaminacées;mai à octobre;blanc, rose, violet, rouge;caduc;de 30 à 50 cm;Impatiens;semis en mars-avril, bouturage au printemps en maintenant la tige dans l'eau, elle produira des racines;Nouvelle-Guinée;fleur;printemps;;10°C minimum;neutre;normal à humide mais attention à l'excès;frais, riche en humus;;pas de taille nécessaire;;pot, jardinière, bordure, massif, pied d'arbre;cultivé en extérieur comme annuelle, vivace à l'intérieur à la lumière
;;résistante aux maladies;mi-ombre et soleil;Balsaminacées;mai à octobre (jusquaux premières gelées);Rose lavande à rose magenta, blanc pur, rouge;caduc;40-60 cm suivant les coloris;Impatiens SunPatiens®;Bouturage de décembre à avril;horticole;fleur;printemps;;non rustique;neutre;normal à humide mais attention à l'excès;frais, riche en humus;;pas de taille nécessaire, développement en boule;;massif, jardinière, pot, potée;cultivé en extérieur comme annuelle, vivace à l'intérieur à la lumière
;;;ensoleillée à ombre légère;Campanulacées;avril à septembre;bleu, violet, blanc, rose;persistant;10 à 20 cm;Lobelia erinus;division, semis;sud de l'Afrique;vivace gélive cultivée en annuelle sous nos latitudes;printemps;;gélive, 5 °C mini;légèrement acide à neutre;arrosage régulier, ne pas laisser se dessécher le terreau;normal;Lobelia acutangulan,  Lobelia algoensis, Lobelia altimontis, Lobelia bellidifolia;pas de taille;;plante de bordure et balcon;vivace
;;limaces, escargots;soleil à ombre;Primulacées;mai à septembre;jaune;persistant;0.30 cm;Lysimachia congestiflora;division, semis;Chine;plante couvre-sol ornementale;printemps;;rustique, -7°C;légèrement acide à légèrement basique;frais;humifère;;;;massif, potée;persistant
;;gare à la pourriture;soleil;Scrophulariacées;de mars à novembre;nombreux coloris;caduc;de 20 à 60 cm selon les espèces et les variétés;Nemesia;semis au chaud au printemps, bouturage fin août;Afrique du sud;fleurs;printemps;;peu rustique;neutre;frais;riche en humus, bien drainé;;pas de taille nécessaire;;massif, rocaille, potée, jardinière, bouquets;annuelle ou vivace selon les espèces
;;la mouche de l'oeillet, la tordeuse, les pucerons, le thrips, le botrytis, la rouille, l'alternariose;soleil à mi-ombre;Astéracées, Composées;juin à octobre;jaune, orange, rouge brun;caduc, meurt en fin de saison;de 20 à 50 cm;Tagetes patula;semis en avril à 20°C;Sud des États-Unis et Mexique;plante de massif à repiquer;printemps;;gélif, supporte un peu de froid au stade plantule;légèrement acide à légèrement basique;normal, régulièrement arrosé;tolérant, sablonneux à argileux;;éliminez les fleurs fanées au fur et à mesure. Apportez de l'engrais pour plantes fleuries en été;;massif, jardinière, potager;annuel
;;;lumineuse, soleil direct recommandé;Géraniacées;mai à septembre;blanc et rose;semi-persistant;jusqu'à 1 m;Pelargonium citronellum;bouturage, semis;Afrique du Sud;arbustive, plante aromatique et médicinale;printemps;;peu rustique, jusqu'à -2 °C minimum;légèrement acide à légèrement basique;normal en été, plus sec en hiver;sol drainant, sablonneux;;;;véranda, potée extérieure, huile essentielle, pot pourri, tisane;vivace
;;;lumineuse, soleil direct recommandé;Géraniacées;mai à septembre;blanc et rose;semi-persistant;40 à 80 cm;Pelargonium crispum;bouturage, semis;Afrique du sud;plante aromatique et médicinale;printemps;;non rustique -2°C minimum;légèrement acide à légèrement basique;normal en été, plus sec en hiver;sol drainant, sablonneux;;;;véranda, potée extérieur, huile essentielle, pot pourri;vivace
;;;lumineuse, soleil direct recommandé;Géraniacées;mai à septembre;rose;caduc;60 à 100 cm;Pelargonium graveolens;Bouturage, semis;Afrique du sud;plante aromatique et médicinale;printemps;;non rustique -2 ° C minimum;neutre à basique;normal en été, plus sec en hiver;sol drainant, moyennement riche;;;;véranda, potée extérieur, jardinière;vivace
;;la pourriture, les pucerons, les aleurodes;soleil, mi-ombre;Géraniacées;juin à septembre;rouge, rose, mauve, blanc;semi-persistant;jusqu'à 60 cm;Pelargonium x domesticum, Pelargonium x grandiflorum;bouturage en mars, en été ou en septembre;hybride;fleur;printemps;;4 °C, hiverner dans une véranda, une serre froide, une pièce lumineuse et fraiche;acide à neutre;normal;terreau pour plantes fleuries;Pelargonium x grandiflorum;;;pot, jardinière, bac, véranda, devant une fenêtre ensoleillée;vivace
;;la pourriture grise, les pucerons, les chenilles, les charançons;soleil;Géraniacées;de mai aux gelées;nombreux coloris;persistant;2 m;Pelargonium x Hederaefolium;bouturage en août;Afrique du sud;fleur;printemps;;2°C, vivace dans les régions au climat doux;neutre;normal;léger, riche;Pelargonium peltatum, Pelargonium x hederaefolium;;;pot, jardinière, suspension, treillage, cloture;vivace mais souvent cultivée comme annuelle
;;la pourriture grise, les pucerons, les chenilles, les charançons, la rouille;soleil;Géraniacées;de mai aux gelées;blanc, rose, rouge, saumon, bicolore;persistant;120 cm;Pelargonium x Hortorum;semis au printemps à 18°C, bouturage au printemps ou en été;horticole;fleur;printemps;;2°C;neutre à alcalin;normal;riche et drainant;;;;pot, jardinière, bordure, massif;arbrisseau
;;;mi-ombre;Solanacées;mai-juin jusqu'aux gelées;toutes les couleurs;persistant;40 à 60 cm;Petunia x 'Surfinia';boutures, semis;horticole;plante retombante;printemps;;non rustique, 1°C;légèrement acide à légèrement basique;frais et drainant;tolérant, mais aime les sols riches;;;;massif, balcon, jardinière;vivace
